"musica";"musica_parecida";"nivel_de_similaridade"
"De Graça ou Pagando - Grelo";"Descer Pra BC";95,6339155080755
"Chapa Máxima - Boladin 211, MC Rick, MC Leozinho ZS, CAO$, Dj Lv Mdp";"Eu sou Cantor Não Sou Bandido";95,6188959854311
"Descer Pra BC - Brenno & Matheus, DJ Ari SL";"De Graça ou Pagando";95,5775168381558
"Eu sou Cantor Não Sou Bandido - Mc Lele JP, MC Marks, MC Leozinho ZS, MC Joãozinho VT";"Chapa Máxima";95,4647769849994
"Imã de Problema - Henry Freitas, Mc Th";"Lovezin Bandido";95,0719855479942
"Sei Que Tu Me Odeia - Anitta, Mc Danny, HITMAKER";"Lovezin Bandido";94,2731936722721
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"Amigo Da Minha Saudade - Ao Vivo";94,2031955403682
"Lovezin Bandido - Melody, Latino, HITMAKER";"Sei Que Tu Me Odeia";94,1632064889638
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Triplex - Ao Vivo";93,8595562412133
"Lovezin Bandido - Melody, Latino, HITMAKER";"Imã de Problema";93,8517783224658
"SEQUÊNCIA STRIPTEASE - PEDRO SAMPAIO, Mc Gw, Mc Debby, Mc Talibã";"Lovezin Bandido";93,7463294826617
"Medley de Igaratá 4 - Mc Negão Original, DJ Guh Mix";"Vida de Artista";93,5529800642595
"Vida de Artista - MC Joãozinho VT, MC Tuto, Deejhay RB";"Medley de Igaratá 4";93,5249660732327
"Sujeito Homem - Ao Vivo - Guilherme & Benuto";"UM PALMO - Ao Vivo";93,3372336895547
"Cronômetro - Ao Vivo - Matheus & Kauan";"Sei Tocar Violão - Ao Vivo";93,2772594586478
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Cronômetro - Ao Vivo";93,2603353891682
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Xonei";93,1112569187957
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Xonei";93,1112569187957
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Dia 1 - Versão Forró";93,0936578187207
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Dia 1 - Versão Forró";93,0936578187207
"Fechando o Circo - Ao Vivo - Guilherme & Benuto, NATTAN";"Última Noite";92,9030444104436
"Saveiro - Kaique e Felipe, Luan Pereira";"Sei Que Tu Me Odeia";92,8756459335305
"Xonei - Jorge & Mateus, Henrique & Juliano";"Banquinho - Ao Vivo";92,7921051695897
"Xonei - Jorge & Mateus, Henrique & Juliano";"Banquinho - Ao Vivo";92,7921051695897
"Vida de Artista - MC Joãozinho VT, MC Tuto, Deejhay RB";"365 Dias (Vida Mansa)";92,6120837264522
"Nada Com Nada - Ao Vivo - Gustavo Mioto, Grupo Menos É Mais";"Cronômetro - Ao Vivo";92,537682696756
"Última Vez - Ao Vivo - Naiara Azevedo, Clayton & Romário";"Mentirosa - Ao Vivo";92,5153402411769
"Última Noite - NATTAN, Léo Foguete";"Fechando o Circo - Ao Vivo";92,5136504145372
"Última Vez - Ao Vivo - Naiara Azevedo, Clayton & Romário";"Triplex - Ao Vivo";92,5063091635265
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"Última Vez - Ao Vivo";92,5036245877679
