"musica";"musica_parecida";"nivel_de_similaridade"
"A Bar Song (Tipsy) - Shaboozey";"Bed Chem";96,770778809592
"Bed Chem - Sabrina Carpenter";"A Bar Song (Tipsy)";96,7645843079401
"Timeless - The Weeknd";"Bed Chem";95,8884190154127
"Bed Chem - Sabrina Carpenter";"Timeless";95,7912631478291
"Lose Control - Teddy Swims";"Pink Skies";95,0105433845576
"Pink Skies - Zach Bryan";"Lose Control";94,9622827940444
"All The Stars (with SZA) - Kendrick Lamar, SZA";"Timeless";94,552112514739
"Timeless - The Weeknd";"A Bar Song (Tipsy)";94,3702144181367
"A Bar Song (Tipsy) - Shaboozey";"Timeless";94,2482171112337
"Timeless - The Weeknd";"All The Stars (with SZA)";93,9885432372679
"Beautiful Things - Benson Boone";"Pink Skies";93,9774166633271
"Loco - Neton Vega";"Timeless";93,968845051961
"Timeless - The Weeknd";"Loco";93,804669643041
"Pink Skies - Zach Bryan";"Beautiful Things";93,7178421739453
"Sports car - Tate McRae";"Bed Chem";93,6874081894246
"Taste - Sabrina Carpenter";"Abracadabra";93,5546781285134
"Abracadabra - Lady Gaga";"Taste";93,4031485167555
"PIToRRO DE COCO - Bad Bunny";"Pink Pony Club";92,9958974902279
"PIToRRO DE COCO - Bad Bunny";"Pink Pony Club";92,9958974902279
"Bed Chem - Sabrina Carpenter";"Sports car";92,9472771115842
"I Love You, I'm Sorry - Gracie Abrams";"Saturn";92,86520072446
"Who - Jimin";"I Had Some Help (Feat. Morgan Wallen)";92,6642861808932
"Loco - Neton Vega";"Bed Chem";92,6403851514749
"Saturn - SZA";"I Love You, I'm Sorry";92,5872159690011
"Sports car - Tate McRae";"MILLION DOLLAR BABY";92,56841772166
"Who - Jimin";"Love Somebody";92,5315497363021
"I Love You, I'm Sorry - Gracie Abrams";"Sailor Song";92,340193858829
"MILLION DOLLAR BABY - Tommy Richman";"Sports car";92,3372956011463
"Sports car - Tate McRae";"A Bar Song (Tipsy)";92,3208254717537
"Friendly Hallucinations - Mac Miller";"Snooze";92,3107932825356
"Bed Chem - Sabrina Carpenter";"Loco";92,2614072160074
"Sailor Song - Gigi Perez";"I Love You, I'm Sorry";92,195084094252
"All The Stars (with SZA) - Kendrick Lamar, SZA";"PIToRRO DE COCO";92,1691086602568
"Pink Pony Club - Chappell Roan";"PIToRRO DE COCO";92,1404079516666
"Pink Pony Club - Chappell Roan";"PIToRRO DE COCO";92,1404079516666
"Something in the Orange - Zach Bryan";"WILDFLOWER";92,1142077713062
"Please Please Please - Sabrina Carpenter";"PIToRRO DE COCO";92,0725931680099
"WHATCHU KNO ABOUT ME (feat. Sexyy Red) - GloRilla, Sexyy Red";"Stuff (feat. Travis Scott)";92,0398233869596
"Who - Jimin";"Espresso";91,9468424091934
"I Remember Everything (feat. Kacey Musgraves) - Zach Bryan, Kacey Musgraves";"Like Him (feat. Lola Young)";91,880349014731
"Stuff (feat. Travis Scott) - Lil Baby, Travis Scott";"WHATCHU KNO ABOUT ME (feat. Sexyy Red)";91,8172534855026
"505 - Arctic Monkeys";"Mr. Brightside";91,6955428938124
"WILDFLOWER - Billie Eilish";"Something in the Orange";91,690290795229
