"jogador";"camp";"semelhantes";"camp ";"nivel_de_similaridade"
"saintvini69";"GWL QUALIFIER";"furtheus";"GWL QUALIFIER";33,4271841370511
"saintvini69";"GWL QUALIFIER";"gnajmking";"GWL QUALIFIER";33,778212696796
"saintvini69";"GWL QUALIFIER";"savelyon";"GWL QUALIFIER";33,8193300173043
"furprozin10";"GWL QUALIFIER";"antibad9";"GWL QUALIFIER";35,5385569797093
"furprozin10";"GWL QUALIFIER";"savemaster7";"GWL QUALIFIER";35,9661587929713
"furprozin10";"GWL QUALIFIER";"savekohizz";"GWL QUALIFIER";37,0009282776481
"lorigby245";"GWL 2025 S1";"rvsub";"GWL QUALIFIER";37,4202454304855
"lorigby245";"GWL 2025 S1";"tigro";"GWL QUALIFIER";38,022691145875
"lorigby245";"GWL 2025 S1";"savekohizz";"GWL QUALIFIER";39,1809168076307
"yagoloud";"GWL 2025 S1";"mazedelta";"GWL QUALIFIER";40,5426302909108
"yagoloud";"GWL 2025 S1";"antisant";"GWL QUALIFIER";40,6031288681512
"e1vitinxp";"GWL 2025 S1";"itavitr7";"GWL QUALIFIER";41,0795547694372
"e1vitinxp";"GWL 2025 S1";"rvsub";"GWL QUALIFIER";41,116168698336
"yagoloud";"GWL 2025 S1";"xldericking";"GWL QUALIFIER";41,7783391696357
"losraone7";"GWL 2025 S1";"antibad9";"GWL QUALIFIER";42,1580348616226
"painmotovea";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";42,4729104185766
"xldericking";"GWL QUALIFIER";"mazedelta";"GWL QUALIFIER";42,8834540717759
"losraone7";"GWL 2025 S1";"dr3isopor21";"GWL QUALIFIER";43,1892778027741
"losraone7";"GWL 2025 S1";"savemaster7";"GWL QUALIFIER";43,6701299185041
"painmotovea";"GWL 2025 S1";"xldericking";"GWL QUALIFIER";43,7082318926474
"furgbzinn";"GWL QUALIFIER";"gpsmgx88";"GWL QUALIFIER";44,5147538048238
"xldericking";"GWL QUALIFIER";"tjnwadking";"GWL QUALIFIER";44,7691586753566
"almcarlin";"GWL 2025 S1";"realmiranha";"GWL QUALIFIER";45,0821008975434
"furgbzinn";"GWL QUALIFIER";"antibad9";"GWL QUALIFIER";45,2627919572497
"furgbzinn";"GWL QUALIFIER";"antisant";"GWL QUALIFIER";45,547367425365
"tsxtrap7";"GWL 2025 S1";"antibad9";"GWL QUALIFIER";45,5869131480121
"b8edux89";"GWL QUALIFIER";"rzn710";"GWL QUALIFIER";45,7743469892685
"fxb0ps7";"GWL 2025 S1";"gpsmgx88";"GWL QUALIFIER";46,0929966829798
"dr3dressa7";"GWL QUALIFIER";"mazepacheco";"GWL QUALIFIER";46,1675996401048
"xldericking";"GWL QUALIFIER";"antisant";"GWL QUALIFIER";46,238485051038
"b8edux89";"GWL QUALIFIER";"afr7xy";"GWL QUALIFIER";46,3606928538156
"tsxtrap7";"GWL 2025 S1";"savemaster7";"GWL QUALIFIER";46,5503010172188
"antitrevor9";"GWL QUALIFIER";"xldguifox7";"GWL QUALIFIER";46,635551844516
"saveyann7wp";"GWL QUALIFIER";"gpsmgx88";"GWL QUALIFIER";46,7924882237857
