"jogador";"camp";"semelhantes";"camp ";"nivel_de_similaridade"
"lorigby245";"GWL 2025 S1";"loudcauan";"GWL 2025 S1";36,2295655949579
"lorigby245";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";39,031654279532
"lorigby245";"GWL 2025 S1";"e1vitinxp";"GWL 2025 S1";40,3945813936014
"painmotovea";"GWL 2025 S1";"aflins7";"GWL 2025 S1";46,9475428267031
"painmotovea";"GWL 2025 S1";"sccppo7";"GWL 2025 S1";47,0382664671123
"yagoloud";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";47,6045953901644
"painmotovea";"GWL 2025 S1";"zetsu9inco";"GWL 2025 S1";48,597003354913
"fxb0ps7";"GWL 2025 S1";"infgoabe7";"GWL 2025 S1";49,5302106415527
"xlds1mple";"GWL 2025 S1";"cptlyon";"GWL 2025 S1";49,6172124903557
"xlds1mple";"GWL 2025 S1";"menopecinha";"GWL 2025 S1";49,9558967603527
"yagoloud";"GWL 2025 S1";"losnando9";"GWL 2025 S1";50,1605937451964
"fxb0ps7";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";50,3922885332549
"fxb0ps7";"GWL 2025 S1";"tsxtrap7";"GWL 2025 S1";50,5641851184472
"xlds1mple";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";50,6831100024453
"losraone7";"GWL 2025 S1";"e1vitinxp";"GWL 2025 S1";51,404025818682
"losraone7";"GWL 2025 S1";"painguszx";"GWL 2025 S1";51,9473377958694
"flabandv4";"GWL 2025 S1";"tectoy22";"GWL 2025 S1";51,9993185749252
"losraone7";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";52,0285106956713
"yagoloud";"GWL 2025 S1";"e1picpay";"GWL 2025 S1";52,0998730434835
"flabandv4";"GWL 2025 S1";"teclobatoyy";"GWL 2025 S1";52,5343208272454
"almcarlin";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";52,7361937576561
"w7mlupo";"GWL 2025 S1";"crvgmts007";"GWL 2025 S1";52,9003959469213
"w7mlupo";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";52,9505424915155
"flabandv4";"GWL 2025 S1";"afr7xy";"GWL 2025 S1";52,9991226829647
"xldmitinx";"GWL 2025 S1";"almghostbb";"GWL 2025 S1";53,2340018242408
"w7mlupo";"GWL 2025 S1";"afwliu";"GWL 2025 S1";53,250546137895
"almcarlin";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";53,468891874165
"bvbblack";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";53,5967407956895
"almcarlin";"GWL 2025 S1";"menopecinha";"GWL 2025 S1";53,7029068426948
"e1vitinxp";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";53,7113981803839
"tsxtrap7";"GWL 2025 S1";"e1vitinxp";"GWL 2025 S1";54,0644911964913
"tsxtrap7";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";54,7477120997021
"almisacksr";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";54,8820308919967
"e1vitinxp";"GWL 2025 S1";"tsxtrap7";"GWL 2025 S1";55,0379901758865
"almghostbb";"GWL 2025 S1";"incostrike";"GWL 2025 S1";55,3247262667959
"e1vitinxp";"GWL 2025 S1";"painguszx";"GWL 2025 S1";55,32532939253
"almisacksr";"GWL 2025 S1";"painguszx";"GWL 2025 S1";55,3468340903748
"almisacksr";"GWL 2025 S1";"antingelo7";"GWL 2025 S1";55,4556446007433
"cptyann7awp";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";55,7132870133382
